course_id,Anatomy and Physiology,Behavioral and Cognitive Neuroscience,Cell and Molecular Neuroscience,Environmental and Public Health,Exercise Science,Health Promotion,Microbiology and Infectious Disease,Neuroscience,Other
BMS-325,Senior (Fall) | A,Senior (Fall) | A,Senior (Fall) | B,,Senior (Spring) | A,,,,Junior (Fall) | B
BMS-330,Senior (Spring) | A,,,,Senior (Spring) | A,,,,
BMS-345,Senior (Fall) | B,Senior (Fall) | C,Senior (Fall) | B,,,Junior (Fall) | W,Senior (Fall) | W,,Junior (Fall) | B
BMS-384,Senior (Fall) | A,Junior (Fall) | A,Senior (Spring) | A,,Senior (Fall) | A,Senior (Spring) | A+,Senior (Fall) | A,,
BMS-400,Senior (Spring) | A,,,,,,,,
BMS-405,Senior (Spring) | A,Senior (Spring) | A,Senior (Spring) | B+,,Senior (Spring) | B+,,,,
BMS-409,Senior (Fall) | B,Senior (Fall) | A,Senior (Fall) | C,,,,,,
BMS-420,Senior (Fall) | A,,,,Senior (Fall) | B+,,Senior (Fall) | A,,
BMS-421,Senior (Fall) | A,,,,,,Senior (Fall) | A,,
BMS-425,,,Junior (Spring) | A,,,,,,
BMS-430,Senior (Fall) | A,,Senior (Fall) | A,,Senior (Fall) | A,,,,
BMS-450,Senior (Spring) | A,,,,,,,,
BMS-460,Senior (Fall) | A,,,,,,,,
BMS-461,Senior (Fall) | A,,,,,,,,
BMS-487,Junior (Fall) | I,,,,,,,,
BMS-495,Senior (Spring) | A,,,,,,,,
BMS-496A,Senior (Fall) | A,Senior (Fall) | A,Senior (Fall) | A,,Senior (Fall) | A,Senior (Fall) | A,,,
BMS-496B,Junior (Spring) | A+,,,,,,Senior (Spring) | A+,,
BMS-496C,Junior (Spring) | A,,,,Junior (Spring) | A,Junior (Spring) | A,Senior (Spring) | A,,
BMS-496D,Senior (Spring) | A,,,,,,,,
BMS-498,Senior (Spring) | A,Senior (Spring) | A,Senior (Spring) | A,,,,,,
BMS-500,Senior (Fall) | B,,,,,,,,
BMS-501,Senior (Spring) | A,,,,,,,,
BMS-521,Senior (Spring) | B,,,,,,,,
BMS-545,,Senior (Spring) | A,,,,,,,
BSPM-102,Sophomore (Summer) | A,Sophomore (Summer) | A,,,Freshman (Summer) | B,Freshman (Fall) | A,Sophomore (Spring) | B,,Freshman (Spring) | B
BSPM-302,,,,Sophomore (Fall) | F,Junior (Fall) | B-,,Junior (Fall) | A,,
BSPM-361,,Senior (Spring) | C+,,,,,Junior (Spring) | A,,
BSPM-365,,Senior (Fall) | D,,,,,,,
BUS-100,Sophomore (Fall) | A,,,,Freshman (Fall) | A,Freshman (Fall) | B,,,Freshman (Fall) | A
BUS-105,Freshman (Fall) | A,,,,Freshman (Fall) | A,Freshman (Fall) | A-,,,
BUS-150,Senior (Fall) | A+,Freshman (Fall) | A,Junior (Fall) | A-,,Sophomore (Fall) | A,Freshman (Fall) | A,Senior (Fall) | A+,,
BUS-201,Junior (Summer) | A,,,,Freshman (Fall) | A,Junior (Fall) | A,,,Freshman (Fall) | A
BUS-205,,Senior (Fall) | A,,,Junior (Summer) | A,Junior (Spring) | A,,,
BUS-210,,,,,Junior (Fall) | A,,,,
BUS-220,Junior (Fall) | A+,Sophomore (Fall) | A,,Sophomore (Fall) | A,Junior (Fall) | A,Sophomore (Fall) | A,Sophomore (Fall) | A,,Sophomore (Summer) | A-
BUS-225,,,,,,Senior (Fall) | A,,,
BUS-250,Freshman (Fall) | A-,,,,Freshman (Fall) | A-,Freshman (Fall) | A-,,,
BUS-260,Sophomore (Fall) | B,,,,Sophomore (Spring) | A,Sophomore (Fall) | B,,,
BUS-269,,,,,,Sophomore (Fall) | A-,,,
BUS-300,Sophomore (Spring) | B,,,,,Junior (Spring) | A+,,,
BUS-361,,,,,,Freshman (Fall) | A+,,,
BUS-380A5,Senior (Fall) | A+,,,,,,,,
BUS-405A,Senior (Fall) | A,,,,Senior (Fall) | A,,,,
BUS-479,Senior (Fall) | B-,,,,,,,,
BZ-101,Freshman (Fall) | A,Freshman (Fall) | B,,,Freshman (Fall) | C,Sophomore (Fall) | C,,,Freshman (Fall) | C+
BZ-104,,,,,Freshman (Fall) | B+,Freshman (Fall) | B,,,
BZ-110,Sophomore (Fall) | A-,Sophomore (Fall) | A+,,Freshman (Fall) | B,Sophomore (Fall) | A,Freshman (Fall) | C,Junior (Summer) | A,,
BZ-120,,,,Freshman (Spring) | B-,Sophomore (Spring) | A,Sophomore (Fall) | A,,,
BZ-182A,Sophomore (Fall) | A+,,,,,Freshman (Fall) | A+,,,
BZ-192,Freshman (Fall) | A,,,,Freshman (Fall) | A+,,Freshman (Fall) | A+,,
BZ-212,Junior (Fall) | A,,Sophomore (Fall) | B-,,Junior (Fall) | C+,,Senior (Fall) | A+,,
BZ-214,Sophomore (Spring) | B,,Sophomore (Spring) | B,,,,Senior (Spring) | A,,
BZ-220,Sophomore (Fall) | A,,Sophomore (Spring) | B,,Sophomore (Spring) | C,Sophomore (Fall) | C,Junior (Fall) | A,,Junior (Fall) | A+
BZ-223,Senior (Fall) | A,,,,Junior (Fall) | C,,,,
BZ-240,,,,,,,,,Junior (Spring) | C
BZ-300,Junior (Fall) | D,,,,Junior (Fall) | F,,,,
BZ-310,Junior (Fall) | A,,,Senior (Spring) | A,Senior (Spring) | B+,,Senior (Fall) | A,,Junior (Fall) | A
BZ-311,,,,,,,,,Junior (Spring) | A
BZ-333,,,,,,,Senior (Summer) | B+,,
BZ-350,Junior (Fall) | A,,,,Senior (Fall) | C,,Junior (Spring) | A,,Senior (Spring) | C+
BZ-360,,Senior (Fall) | B,,,,,Senior (Fall) | A,,Senior (Fall) | A
BZ-384,Junior (Spring) | A,Sophomore (Spring) | A+,,,,,Sophomore (Spring) | A+,,
BZ-418,,,,,,,Senior (Spring) | A,,
BZ-420,,,,,,,,,Junior (Fall) | A+
BZ-435A,Junior (Spring) | A,,,,,,,,
BZ-450,Senior (Spring) | B,,,,,,,,
BZ-475,,,,,,,Senior (Fall) | A,,
BZ-480A4,,,,,,,Sophomore (Fall) | A,,
BZ-498,Senior (Fall) | A,,,,,,Junior (Fall) | W,,
BZ-541,Senior (Spring) | A,,,,,,,,
CBE-101,,,,,Junior (Spring) | B,Freshman (Spring) | RD,Sophomore (Spring) | C,,
CBE-101A,Freshman (Spring) | A-,,,,Sophomore (Spring) | A,Sophomore (Fall) | F,Freshman (Fall) | B+,,
CBE-201,,,,,Junior (Fall) | C,,Junior (Fall) | B-,,
CBE-205,,,,,Junior (Fall) | C,,Junior (Fall) | C,,
CBE-210,,,,,Senior (Spring) | W,,Junior (Spring) | W,,
CBE-393,,,,,Senior (Spring) | A+,,Junior (Spring) | B+,,
CHEM-103,Freshman (Spring) | B,Sophomore (Fall) | C,,,Freshman (Fall) | B,Freshman (Fall) | B,,,
CHEM-105,Sophomore (Fall) | A,Freshman (Fall) | A,Junior (Fall) | A,,Sophomore (Spring) | A,Sophomore (Fall) | B,Sophomore (Fall) | A,,Freshman (Fall) | B
CHEM-107,,,Senior (Summer) | A+,Freshman (Spring) | B-,Sophomore (Spring) | D,Sophomore (Spring) | C,,,Sophomore (Spring) | C
CHEM-108,,,,,,Senior (Fall) | A,,,
CHEM-111,Sophomore (Fall) | A,Sophomore (Fall) | A,Sophomore (Fall) | A,Sophomore (Fall) | F,Sophomore (Spring) | C,Sophomore (Spring) | C,Sophomore (Fall) | A,Freshman (Fall) | C,Sophomore (Fall) | A
CHEM-113,Sophomore (Spring) | A-,Sophomore (Spring) | C,Junior (Spring) | A,Sophomore (Fall) | C,Junior (Fall) | C,Sophomore (Fall) | W,Sophomore (Spring) | A,Junior (Fall) | B-,Junior (Fall) | C
CHEM-120,,,,,Freshman (Fall) | A-,,Freshman (Fall) | A,,
CHEM-192,,,,,Freshman (Fall) | A,,Freshman (Fall) | A,,
CHEM-231,Sophomore (Fall) | A,,,,,,Senior (Fall) | A+,,
CHEM-241,Junior (Spring) | A,,,,,,Sophomore (Spring) | A,,
CHEM-245,Junior (Fall) | A,,Sophomore (Spring) | B-,Junior (Spring) | D,Junior (Fall) | A,Junior (Fall) | B,Junior (Fall) | A,,Senior (Fall) | B+
CHEM-263,Junior (Spring) | A,,,Junior (Spring) | B,,Sophomore (Spring) | C,,,
CHEM-311,,,,,Senior (Fall) | W,,Senior (Fall) | B+,,
CHEM-320,Senior (Fall) | A+,Senior (Fall) | A,Senior (Fall) | A-,,Senior (Fall) | A,,Senior (Fall) | A-,,
CHEM-333,Senior (Fall) | A+,Senior (Fall) | A+,,,,,Senior (Fall) | A,,
CHEM-338,Senior (Spring) | A-,,,Senior (Spring) | A-,,,,,
CHEM-341,Junior (Fall) | A,Junior (Fall) | A,Junior (Fall) | A,Senior (Fall) | B,Junior (Fall) | A,Junior (Fall) | C,Junior (Fall) | A,Junior (Fall) | B,Junior (Fall) | W
CHEM-343,Junior (Spring) | A,Senior (Spring) | B,Senior (Spring) | A,Junior (Spring) | C+,Senior (Spring) | A,Senior (Spring) | W,Junior (Spring) | B,,Senior (Spring) | W
CHEM-384,Senior (Fall) | A,,Junior (Fall) | A,,Senior (Fall) | A,,,,
CHEM-445,Junior (Fall) | W,,Senior (Fall) | B-,,,,Senior (Fall) | A,,
CHEM-448,Senior (Spring) | A,Senior (Spring) | B,,,Senior (Spring) | A,,,,
CIS-200,Senior (Fall) | A,,Junior (Summer) | A,,Freshman (Fall) | A,Sophomore (Fall) | A,,,Freshman (Spring) | A-
CIS-240,Senior (Spring) | C,,,,,,,,
CIS-310,Senior (Fall) | B+,,,,,,,,
CIS-320,Senior (Spring) | B+,,,,,,,,
CIS-340,Senior (Spring) | B-,,,,,,,,
CIS-370,Senior (Spring) | A-,,,,,,,,
CIS-411,Senior (Spring) | B+,,,,,,,,
CIS-575,Senior (Fall) | W,,,,,,,,
CIVE-102,,Freshman (Fall) | A,,,,Sophomore (Fall) | A+,,,
CIVE-103,,,,,,Sophomore (Spring) | B+,,,
CIVE-260,,,,Sophomore (Spring) | B-,Junior (Fall) | C,,,,
CIVE-261,Senior (Fall) | A+,,,,Junior (Spring) | F,,,,
CIVE-360,Senior (Summer) | A+,,,,,,,,
CO-130,Sophomore (Fall) | A,Freshman (Fall) | C,,,Freshman (Spring) | A-,Sophomore (Spring) | B-,,Freshman (Fall) | C,Freshman (Fall) | A
CO-150,Sophomore (Spring) | A,Sophomore (Spring) | A,Sophomore (Spring) | A,Freshman (Spring) | A,Sophomore (Spring) | A,Sophomore (Spring) | A,Sophomore (Spring) | A,Freshman (Fall) | A,Freshman (Spring) | B+
CO-300,Junior (Fall) | A+,Junior (Fall) | A,Junior (Spring) | A,Junior (Fall) | A,Junior (Fall) | A,Sophomore (Fall) | A-,Junior (Spring) | A+,Sophomore (Fall) | A,Junior (Fall) | A+
CO-301A,Junior (Fall) | A-,,,,,,Junior (Fall) | A,,
CO-301B,Junior (Fall) | A,Junior (Fall) | A,Junior (Spring) | A,Junior (Fall) | A,Junior (Fall) | A,Junior (Fall) | A,Junior (Fall) | A,Junior (Fall) | B,Junior (Fall) | A
CO-302,,,,,,Junior (Fall) | B,,,
CON-101,Freshman (Fall) | B,,,,,Freshman (Fall) | A,,,
CON-151,Freshman (Spring) | B,,,,,,Junior (Fall) | B,,
CON-192,Sophomore (Fall) | A,,,,,,,,
CON-251,Sophomore (Fall) | A+,,,,,,,,
CON-265,Sophomore (Fall) | A,,,,,,,,
CON-317,Junior (Spring) | A,,,,,,,,
CON-353,Junior (Spring) | A,,,,,,,,
CON-358,Junior (Spring) | B,,,,,,,,
CON-366,Junior (Spring) | B,,,,,,,,
CS-110,Freshman (Fall) | A,Freshman (Fall) | A,Junior (Fall) | B,Sophomore (Spring) | A,Freshman (Fall) | A,Freshman (Fall) | A,Sophomore (Fall) | A,,Sophomore (Fall) | A
CS-150B,Sophomore (Fall) | A,Sophomore (Fall) | A,Senior (Fall) | A,Sophomore (Spring) | A,Freshman (Fall) | A,Freshman (Fall) | A,Junior (Fall) | A,,Freshman (Fall) | A
CS-152,Junior (Spring) | A,,,,Freshman (Fall) | C,Sophomore (Spring) | B,Junior (Spring) | A,,
CS-162,,,Sophomore (Spring) | B,,Freshman (Fall) | B,Sophomore (Spring) | B,Junior (Fall) | B+,,
CS-163,Sophomore (Spring) | B,,Junior (Fall) | A,,,Sophomore (Fall) | W,,,
CS-164,Sophomore (Spring) | A,Junior (Spring) | C,Senior (Fall) | B,,Freshman (Spring) | B,,Junior (Spring) | A,,
CS-165,Junior (Summer) | A+,,Junior (Spring) | A,,Freshman (Spring) | C,Junior (Fall) | C,,,
CS-192,,,,,Freshman (Fall) | A,,,,
CS-201,Senior (Spring) | A+,,Senior (Fall) | C+,,Junior (Fall) | C,,,,
CS-214,,,Senior (Fall) | B-,,,Junior (Spring) | W,,,
CS-220,Senior (Summer) | A,,Senior (Fall) | A,,Junior (Fall) | C,,Junior (Fall) | A,,
CS-250,,,Senior (Summer) | A,,,,,,
CS-312,,,Senior (Spring) | A,,,,,,
CS-314,,,Senior (Fall) | A,,,,,,
CS-320,,,Senior (Fall) | C+,,,,,,
CS-345,,,Senior (Spring) | A,,,,Senior (Spring) | A+,,
CS-356,,,Senior (Fall) | B,,,,,,
CS-435,,,Senior (Fall) | C,,,,,,
CT-301,,,,,,Junior (Spring) | W,,,
D-110,Sophomore (Fall) | A,Freshman (Fall) | A+,,,Junior (Fall) | A+,Sophomore (Spring) | A+,Freshman (Spring) | C,Sophomore (Spring) | A,Freshman (Fall) | A+
DM-182A,,,,Freshman (Fall) | A+,,,,,
DM-192A,,,,,Sophomore (Spring) | A,,,,
DM-192B,,Freshman (Spring) | D,,,Sophomore (Spring) | C,,,,
DM-272,,,,,Freshman (Fall) | B,,,,
DSCI-235,,,Senior (Spring) | A,,,,,,
DSCI-320,,,Senior (Fall) | B,,,,,,
DSCI-335,,Senior (Spring) | A+,Senior (Spring) | A,,,,,,
DSCI-336,,,Senior (Spring) | A,,,,,,
DSCI-369,Sophomore (Spring) | A+,,Senior (Spring) | A-,,,,,,
DSCI-445,,,Senior (Fall) | D,,,,,,
DSCI-478,,,Senior (Spring) | A,,,,,,
E-140,Freshman (Fall) | B,Freshman (Fall) | A,Freshman (Spring) | A,Freshman (Fall) | A,Freshman (Fall) | A,Freshman (Fall) | A-,Sophomore (Fall) | A+,,
E-142,Freshman (Fall) | A,Freshman (Fall) | B+,Sophomore (Fall) | A-,,Sophomore (Spring) | A,Junior (Spring) | B-,Sophomore (Fall) | A,,
E-150,,,,,,Freshman (Fall) | D,,,
E-202,Senior (Spring) | A+,,,,,,,,
E-204,,,,,,,Junior (Spring) | A,,
E-206,,,Sophomore (Spring) | A,,,,,,
E-210,Junior (Spring) | A+,Sophomore (Spring) | A+,Junior (Fall) | A-,,Sophomore (Fall) | A+,Freshman (Fall) | A-,Sophomore (Spring) | A,,Junior (Fall) | B-
E-232,Sophomore (Fall) | A,Freshman (Fall) | A,,,Freshman (Fall) | A,Sophomore (Fall) | A-,Sophomore (Fall) | A,Sophomore (Fall) | A,
E-236,Sophomore (Fall) | A,Junior (Spring) | A-,Junior (Fall) | A,,Sophomore (Fall) | A,Sophomore (Fall) | A+,Freshman (Fall) | A,,Freshman (Fall) | C
E-237,Freshman (Fall) | A+,,,Sophomore (Fall) | F,Freshman (Fall) | C+,,,,
E-238,Sophomore (Fall) | A-,,,,Sophomore (Spring) | A+,,Freshman (Spring) | W,,
E-240,,,,,,Freshman (Fall) | A+,,,
E-242,Sophomore (Fall) | A+,,,,Sophomore (Fall) | A+,,Junior (Spring) | A,,
E-245,Sophomore (Fall) | A,Sophomore (Fall) | A,Junior (Spring) | A,,Junior (Fall) | A,Freshman (Fall) | C,Freshman (Spring) | W,,
E-270,Sophomore (Fall) | A+,Junior (Fall) | A-,,,Freshman (Spring) | B-,Sophomore (Fall) | C,,,
E-276,Freshman (Fall) | A,,,,Freshman (Fall) | C,,Sophomore (Fall) | A,,
E-277,,,,,,Freshman (Spring) | W,Freshman (Fall) | C,,
E-311A,,,,,Junior (Fall) | A,Junior (Fall) | A-,Senior (Fall) | A+,,
E-311B,,,,,,Sophomore (Spring) | A-,Junior (Fall) | A+,,
E-328,,Senior (Spring) | W,,,,,,,
E-333,,,,,Sophomore (Fall) | A+,,,,
E-352,,,Senior (Summer) | A+,,,,,,
E-412A,,,,,Junior (Spring) | A,,,,
EAP-102,Freshman (Fall) | A-,,,,,,,,
ECE-102,,,Sophomore (Fall) | C,,Freshman (Fall) | D,,,,
ECE-204,Senior (Spring) | A,,,,Junior (Spring) | F,,,,
ECON-101,Sophomore (Spring) | B,,Sophomore (Spring) | A+,Sophomore (Fall) | B+,Sophomore (Fall) | A+,Freshman (Fall) | A,,,
ECON-202,Freshman (Fall) | A-,Sophomore (Spring) | A,Sophomore (Spring) | A,Junior (Fall) | B,Sophomore (Fall) | B-,Junior (Fall) | C,Junior (Fall) | A+,,Sophomore (Spring) | A
ECON-204,Junior (Fall) | A-,,,,Junior (Spring) | A-,Sophomore (Fall) | W,,,Freshman (Spring) | A-
ECON-211,Freshman (Fall) | A,Freshman (Spring) | B-,Sophomore (Fall) | A+,Sophomore (Fall) | B+,Sophomore (Fall) | A-,Sophomore (Spring) | A,Freshman (Spring) | A+,Freshman (Fall) | A+,Sophomore (Fall) | A-
ECON-212,Sophomore (Fall) | A,Freshman (Fall) | A-,Sophomore (Fall) | A,Freshman (Fall) | B-,Sophomore (Fall) | B,Junior (Fall) | B+,,,
ECON-235,,,,,Senior (Summer) | A+,,,,
ECON-240,,Freshman (Fall) | B-,,Junior (Fall) | B,Freshman (Fall) | C+,Freshman (Fall) | A,,,
EDUC-275,Freshman (Fall) | A+,,,,Freshman (Fall) | A,Junior (Fall) | A+,Junior (Spring) | A,,
ENGR-101,,,Freshman (Fall) | B+,,,,Sophomore (Fall) | A,,
ENGR-120,,,,,Freshman (Fall) | A,,,,
ENGR-180A2,Junior (Fall) | A+,Freshman (Fall) | A+,Freshman (Fall) | A,,Sophomore (Fall) | A+,Freshman (Fall) | A,Sophomore (Fall) | A,,
ENGR-533,Senior (Fall) | A,,,,,,,,
ERHS-210,,,,Sophomore (Fall) | XB,,,,,
ERHS-220,Sophomore (Fall) | A+,,,Sophomore (Fall) | A+,Sophomore (Spring) | C,Sophomore (Fall) | A,Sophomore (Fall) | A+,,Sophomore (Fall) | A+
ERHS-320,,,,Senior (Fall) | A-,,,Junior (Fall) | A-,,Senior (Fall) | A-
ERHS-332,Junior (Spring) | B,,,Senior (Spring) | A,,,Senior (Spring) | A,,Senior (Spring) | B
ERHS-340,Junior (Fall) | A,,,Junior (Fall) | B,Senior (Fall) | A,,Senior (Fall) | A,,
ERHS-350,,,,Senior (Fall) | A,,,,,Senior (Fall) | A
ERHS-380A1,,,,Senior (Spring) | A,,,,,
ERHS-410,,,,Senior (Spring) | B+,,,,,Senior (Spring) | A+
ERHS-430,Senior (Fall) | A,,,Senior (Fall) | A,,,Senior (Fall) | A,,Senior (Fall) | A
ERHS-446,,,,Senior (Fall) | A,,,,,Senior (Fall) | A
ERHS-448,,,,Senior (Fall) | A,,,,,
ERHS-450,,,,Senior (Spring) | B+,,,Junior (Spring) | A,,Senior (Spring) | A-
ERHS-479,,,,Senior (Spring) | A,,,,,Junior (Spring) | A
ERHS-482A,Senior (Summer) | A+,,,Senior (Summer) | A+,,,,,
ERHS-484,,,,Senior (Fall) | S,,,,,
ERHS-487,,,,Senior (Summer) | A,,,,,Junior (Summer) | A
ERHS-498,,,,Senior (Fall) | A,,,,,Junior (Fall) | A
ERHS-501,,,,,,Senior (Fall) | A,,,
ESS-120,,,,Freshman (Fall) | B+,Freshman (Fall) | A+,Freshman (Fall) | A+,Junior (Fall) | A+,,
ESS-129,,,,Freshman (Fall) | B,Sophomore (Fall) | B,Freshman (Fall) | B,Junior (Fall) | A+,,
ESS-130,,,,Freshman (Spring) | A-,Sophomore (Spring) | A+,Freshman (Spring) | W,Junior (Spring) | A+,,
ESS-210,,,,,Freshman (Fall) | C,,,,
ETST-100,Junior (Fall) | A,Freshman (Fall) | A,Freshman (Fall) | A,Junior (Fall) | A,Sophomore (Fall) | A-,Sophomore (Fall) | A,Sophomore (Spring) | A,,Freshman (Fall) | B
ETST-110,Freshman (Summer) | S,Freshman (Summer) | S,,,Freshman (Summer) | S,,Freshman (Summer) | S,,
ETST-120,,,,,Freshman (Summer) | S,Freshman (Summer) | S,,,
ETST-201,,,,,,,Freshman (Fall) | B+,,
ETST-205,Sophomore (Fall) | A,Freshman (Fall) | A,,,Sophomore (Fall) | A,Junior (Fall) | B,Freshman (Fall) | A,Freshman (Fall) | C,
ETST-240,Sophomore (Fall) | A,,,,Freshman (Fall) | A,,Junior (Fall) | A+,,Freshman (Fall) | B-
ETST-242,,,,,,Freshman (Spring) | W,,,
ETST-250,Junior (Fall) | C,Freshman (Fall) | A+,Sophomore (Fall) | A+,Freshman (Fall) | D,Freshman (Fall) | A+,Freshman (Fall) | A-,Junior (Fall) | A,,Sophomore (Fall) | B
ETST-252,Sophomore (Fall) | A,Sophomore (Fall) | A-,,Junior (Summer) | A-,Sophomore (Fall) | A-,Freshman (Summer) | A,Sophomore (Fall) | A,,
ETST-253,Junior (Summer) | A+,Junior (Summer) | A+,Senior (Fall) | A+,Sophomore (Summer) | A,Freshman (Fall) | B+,,,,
ETST-255,,,,,Junior (Spring) | A+,Sophomore (Fall) | A+,,,
ETST-257,,,,,Freshman (Fall) | A,,,,
ETST-260,,,,Junior (Spring) | A+,,,Junior (Spring) | A-,,
ETST-265,,,,,Sophomore (Fall) | A,,,,
ETST-270,,,,,Sophomore (Fall) | A-,,,,
ETST-277,,,,,Freshman (Fall) | A,Freshman (Fall) | B+,,,
ETST-305,Senior (Fall) | A+,,,,,,Senior (Fall) | A,,
ETST-354,Sophomore (Fall) | A,,,,,,,,
ETST-420,,,,,Senior (Fall) | A,,,,
ETST-430,,,,,,,Senior (Spring) | A+,,
ETST-444,Senior (Spring) | A+,,,,,,,,
F-101,,,,,Sophomore (Fall) | A,,,,
F-209,,,,,Sophomore (Fall) | A,,,,
F-313,,,,,Sophomore (Spring) | C,,,,
FACS-320,,,,Junior (Summer) | B+,Junior (Fall) | A+,Junior (Fall) | A,Senior (Fall) | A,,Sophomore (Fall) | C
FIN-200,Senior (Fall) | A,,,Sophomore (Spring) | A,Senior (Fall) | A,Junior (Fall) | A,Senior (Fall) | A,Junior (Fall) | A,
FIN-300,Junior (Summer) | C+,,,,,Senior (Fall) | A+,,,
FIN-305,Senior (Fall) | A,,Senior (Fall) | A,Senior (Summer) | A,Junior (Spring) | A,Senior (Fall) | A,,,
FIN-310,,,,,,Junior (Spring) | C,,,
FSHN-115,Senior (Fall) | A,,,,Junior (Spring) | A,Junior (Spring) | A,,,Freshman (Fall) | F
FSHN-125,Junior (Fall) | A+,Freshman (Fall) | C+,,Sophomore (Fall) | XF,Freshman (Fall) | A,Freshman (Fall) | A,Sophomore (Spring) | B,,Freshman (Fall) | A
FSHN-150,Sophomore (Fall) | A,Junior (Spring) | A+,,Sophomore (Fall) | A-,Sophomore (Fall) | A,Sophomore (Fall) | A,Sophomore (Fall) | A,,Freshman (Fall) | A
FSHN-180A2,Sophomore (Fall) | A,,,,,Freshman (Fall) | A,,,
FSHN-192,,,,,Freshman (Fall) | A,Freshman (Fall) | A,,,
FSHN-220,Senior (Fall) | A,,,,Senior (Fall) | A,Junior (Fall) | B+,,,Junior (Fall) | A
FSHN-292,,,,,Sophomore (Fall) | A+,Senior (Fall) | A+,,,
FSHN-300,,,,Senior (Fall) | A,Senior (Spring) | A,,,,
FSHN-340,Senior (Spring) | A,,,,Senior (Spring) | A,Junior (Spring) | A,,,
FSHN-342A,,,,,Junior (Summer) | A+,Sophomore (Summer) | A+,,,
FSHN-350,Senior (Spring) | A,Senior (Fall) | A,,Senior (Fall) | D,Junior (Spring) | A,Junior (Fall) | B,,,Junior (Fall) | A-
FSHN-360,,,,,,Junior (Spring) | A,,,
FSHN-382A,,,,,Sophomore (Summer) | A+,,,,
FSHN-428,,Senior (Spring) | A+,,,Senior (Spring) | A,Senior (Spring) | A,,,
FSHN-435,,,,,Senior (Summer) | A,,,,
FSHN-444,Senior (Fall) | A,,,,Senior (Fall) | A,Senior (Fall) | A,,,
FSHN-445,,,,,Senior (Fall) | A+,,,,
FSHN-449,,Senior (Fall) | A+,,,Senior (Fall) | A-,Junior (Fall) | W,,,
FSHN-451,Senior (Fall) | C+,,,,,,,,
FSHN-453,,,,,Senior (Spring) | A+,Senior (Spring) | A,,,
FSHN-455,Senior (Fall) | B+,,,,Senior (Fall) | A+,,,,
FSHN-459,Senior (Fall) | D,Senior (Fall) | A,,,Senior (Fall) | A,Senior (Fall) | A,,,
FSHN-461,,,,,Senior (Fall) | A+,,,,
FSHN-470,,Senior (Spring) | B,,,,,,,
FSHN-480A1,,,,,Senior (Spring) | B,,,,
FSHN-486B,,,,,Junior (Fall) | S,,,,
FSHN-525,,,,,,Junior (Fall) | A+,,,
FTEC-110,,,Sophomore (Spring) | A,,,Junior (Summer) | C,,,
FTEC-115,Sophomore (Fall) | A,,,Senior (Spring) | A,Junior (Fall) | A,Junior (Spring) | A,Senior (Spring) | A,,
FTEC-155,,,,,Sophomore (Fall) | B,,,,
FTEC-210,Senior (Fall) | A-,,,,,Sophomore (Fall) | D,,,
FTEC-292,,,,,,Junior (Fall) | A,,,
FTEC-360,,,,,,,Senior (Spring) | B,,
FTEC-400,Junior (Fall) | A+,,,Junior (Fall) | A,,,,,Junior (Fall) | A
FTEC-574,,,,,,,Senior (Spring) | A,,Senior (Spring) | A
FW-104,,Freshman (Fall) | B-,,Freshman (Spring) | B-,Sophomore (Fall) | A,Freshman (Spring) | C,Sophomore (Spring) | A,,
FW-179,Sophomore (Spring) | A+,,,Freshman (Spring) | B-,Sophomore (Fall) | A,Junior (Spring) | B,,,
FW-380A1,,,,,Sophomore (Fall) | A+,,,,
GEOL-110,,,,,Freshman (Fall) | B,Senior (Fall) | B+,,,
GEOL-120,Freshman (Fall) | A-,,,,Sophomore (Spring) | B,Freshman (Fall) | C,Junior (Fall) | B,,Freshman (Fall) | A
GEOL-122,,,,,Freshman (Fall) | C,Freshman (Fall) | C,,,
GEOL-124,Freshman (Fall) | A,,,,,,,,Freshman (Fall) | A
GEOL-150,,,,Junior (Fall) | A,Sophomore (Fall) | A-,,,,
GEOL-154,,,,Junior (Spring) | A-,Sophomore (Spring) | B,,,,
GEOL-192,,,,,Sophomore (Fall) | A+,,,,
GEOL-250,,,,Junior (Spring) | A,,,,,
GES-101,,,,Freshman (Fall) | A,Freshman (Spring) | A,Freshman (Fall) | A,Junior (Fall) | A,,
GES-120,,,,Senior (Spring) | A-,,,,,
GES-141,Freshman (Fall) | A,,,,Freshman (Fall) | B,Freshman (Fall) | B,,,
GES-280A2,,,,,,,Junior (Fall) | A+,,
GES-465,,,,Junior (Fall) | A,,,,,
GR-100,,,,Freshman (Spring) | C,Freshman (Fall) | C,Freshman (Fall) | C,Junior (Fall) | A,,
GR-102,Sophomore (Fall) | B,,,,Sophomore (Fall) | B,Sophomore (Fall) | B,,,
GR-213,Junior (Spring) | A,,,,,,,,
GR-217,,,,,,,Sophomore (Fall) | A,,
GR-348,Senior (Fall) | A,,,,,,,,
GRAD-544,Senior (Fall) | S,,,,,,Senior (Spring) | S,,
GRAD-592,,,,Junior (Fall) | A+,,,,,
HDFS-101,Sophomore (Fall) | A,Freshman (Fall) | A+,Sophomore (Fall) | A-,Freshman (Spring) | C,Junior (Fall) | A,Junior (Fall) | A,Sophomore (Fall) | A,,Junior (Fall) | C+
HDFS-201,Junior (Spring) | A+,Senior (Summer) | B+,,Sophomore (Fall) | A+,,Junior (Fall) | A,,,
