course_id,Anatomy and Physiology,Behavioral and Cognitive Neuroscience,Cell and Molecular Neuroscience,Environmental and Public Health,Exercise Science,Health Promotion,Microbiology and Infectious Disease,Neuroscience,Other
PSY-320,Senior (Summer) | A+,Senior (Fall) | A,Junior (Fall) | B+,Sophomore (Fall) | A+,Senior (Summer) | A+,Senior (Summer) | A+,Senior (Fall) | A+,,Junior (Spring) | A
PSY-325,Senior (Spring) | A,Senior (Fall) | A+,Senior (Spring) | B,,Senior (Spring) | A,,,Freshman (Summer) | A,
PSY-327,,Senior (Summer) | A+,,,,,,,
PSY-328,Senior (Fall) | A,Senior (Fall) | B,,,Junior (Spring) | A,,Senior (Fall) | A+,,
PSY-340,,,,,Senior (Fall) | A,,,,
PSY-345,,Senior (Fall) | A,,,,Junior (Fall) | A+,,,
PSY-350,,Sophomore (Fall) | F,Senior (Fall) | A,,Senior (Summer) | C,,,,
PSY-352,,Senior (Fall) | A-,Junior (Fall) | B,,Senior (Fall) | C,,,,
PSY-370,,Senior (Summer) | A,,,,,,,
PSY-384,Junior (Fall) | S,Senior (Fall) | S,Junior (Spring) | S,,Sophomore (Spring) | S,Sophomore (Spring) | S,,,Junior (Fall) | S
PSY-437,,Junior (Fall) | B,,,,Junior (Fall) | C+,,,
PSY-452,,Senior (Fall) | A,Senior (Spring) | A,,,,,,Senior (Spring) | A+
PSY-454,,Senior (Fall) | A,,,,,,,Senior (Fall) | A+
PSY-456,,Senior (Spring) | A,,,Senior (Fall) | B-,,,,Senior (Fall) | A+
PSY-458,,Senior (Fall) | A,Senior (Fall) | A,,,Senior (Summer) | A,,,Senior (Fall) | A-
PSY-459,,Senior (Spring) | B+,,,,,,,Senior (Fall) | B-
PSY-460,,,Senior (Spring) | A,,,,,,
PSY-465,,Junior (Fall) | W,Junior (Fall) | B+,,,,,,
PSY-492A,,,Senior (Spring) | A+,,Senior (Fall) | A,,,,
PSY-493,,,Senior (Fall) | A,,Senior (Fall) | B,,,,
PSY-495B,,,,,Senior (Fall) | S,,,,
PSY-496B,,Senior (Fall) | S,Junior (Fall) | S,,Junior (Spring) | S,,,Sophomore (Spring) | S,
REL-360,,,,,Senior (Summer) | A,Senior (Fall) | A,,,
REL-430,,,,,,Senior (Spring) | A+,,,
RRM-101,,,,,,Sophomore (Spring) | A+,,,
RRM-280A1,,,,,,Freshman (Fall) | A,,,
RRM-400,,,,,Junior (Spring) | A-,Sophomore (Fall) | A-,,,
SA-482,Senior (Spring) | NG,Senior (Summer) | NG,,Senior (Fall) | NG,Junior (Fall) | NG,Junior (Spring) | NG,Senior (Fall) | NG,,Senior (Summer) | NG
SOC-100,Sophomore (Fall) | A,Sophomore (Fall) | A,Freshman (Fall) | A,Freshman (Fall) | A,Freshman (Fall) | A,Sophomore (Fall) | A,Sophomore (Fall) | A,Freshman (Fall) | A,Freshman (Fall) | A
SOC-105,Freshman (Fall) | A,Sophomore (Fall) | A,Sophomore (Fall) | B,Freshman (Fall) | A,Freshman (Fall) | A,Freshman (Fall) | B,Freshman (Fall) | A,Freshman (Fall) | B,Freshman (Fall) | A
SOC-205,Junior (Fall) | A,Junior (Fall) | A,Freshman (Spring) | B+,Junior (Fall) | A,Sophomore (Fall) | A,Sophomore (Spring) | A,Junior (Fall) | B+,,Freshman (Fall) | A+
SOC-220,Junior (Fall) | A,Junior (Fall) | A,Sophomore (Fall) | A,Freshman (Fall) | A,Junior (Fall) | A,Sophomore (Spring) | A,Junior (Fall) | A-,,Sophomore (Fall) | A
SOC-253,Junior (Fall) | A+,Freshman (Fall) | A+,Sophomore (Fall) | B+,,Sophomore (Fall) | A,Freshman (Fall) | A+,Junior (Spring) | A+,,Junior (Fall) | A+
SOC-270,,,,Freshman (Fall) | B-,,Freshman (Fall) | B+,,,
SOC-271,Freshman (Fall) | B,,,,,Freshman (Fall) | C,,,
SOC-301,,Junior (Summer) | A,,,,,Junior (Spring) | A,,
SOC-302,Junior (Fall) | A+,Senior (Fall) | A-,,,,,,,
SOC-311,Junior (Fall) | A-,Junior (Summer) | A-,,,,,,,
SOC-324,,,,,,Sophomore (Fall) | B-,,,
SOC-333,,Senior (Fall) | A-,,,,,,,
SOC-334,,Senior (Fall) | A-,,,,,,,
SOC-344,Senior (Spring) | A,,,Sophomore (Spring) | C,,,,,
SOC-352,,Junior (Fall) | D,,,,,,,
SOC-356,,Senior (Spring) | A,,,,,,,
SOC-357,Senior (Fall) | A+,,,,,,,,
SOC-358,Senior (Spring) | A,,,,,,,,
SOC-372,Junior (Spring) | A,Junior (Fall) | F,,,,,Senior (Fall) | A+,,
SOC-482A,Junior (Summer) | A,,,,,,,,
SOC-482B,Junior (Summer) | A,,,,,,,,
SOCR-171,Freshman (Fall) | A,,,Sophomore (Fall) | A,,,,,
SOCR-240,,,,,Sophomore (Spring) | W,,,,
SOCR-320,Junior (Spring) | A,,,,,,,,
SOCR-330,Junior (Fall) | A,Senior (Fall) | A,,Senior (Spring) | A,Junior (Fall) | A,Sophomore (Fall) | C,Junior (Spring) | A,,Senior (Spring) | A
SOCR-455,,,,,,,Senior (Fall) | A,,
SOWK-120,Senior (Fall) | A+,,,,,,,,
SOWK-150,Senior (Fall) | A,,,,Sophomore (Spring) | A,Freshman (Fall) | A,,,
SPCM-100,Sophomore (Fall) | A,Sophomore (Spring) | A+,Junior (Spring) | A,Sophomore (Fall) | B+,Sophomore (Fall) | A,Sophomore (Fall) | A-,Sophomore (Fall) | A,Sophomore (Spring) | A-,Junior (Fall) | A
SPCM-130,,Freshman (Fall) | C+,,,Junior (Fall) | B,Freshman (Spring) | B+,Freshman (Fall) | C,Sophomore (Fall) | B,
SPCM-200,Sophomore (Fall) | A,,Junior (Fall) | B-,Freshman (Fall) | A,Sophomore (Fall) | A,Sophomore (Fall) | B,Junior (Spring) | A,Freshman (Fall) | C+,Sophomore (Fall) | A-
SPCM-201,Junior (Fall) | A+,Freshman (Fall) | A,,,Sophomore (Fall) | A+,Sophomore (Fall) | A-,,,
SPCM-207,,,,,,Sophomore (Fall) | A,,,
SPCM-232,,,,,Senior (Spring) | W,,,,
SPCM-331,,,,,,,Junior (Spring) | B,,
SPCM-334,,,,,Sophomore (Spring) | A-,,,,
SPCM-337,Senior (Fall) | A,,,,,,,,
SPCM-341,,,,,,Junior (Fall) | A-,,,
SPCM-342,,,,,,Sophomore (Fall) | A-,,,
SPCM-350,Junior (Spring) | A,,,,Sophomore (Fall) | C+,,,,
SPCM-357,Senior (Fall) | A,,,,,,,,
SPCM-358B,Senior (Spring) | A+,,,,,,,,
SPCM-358C,Senior (Fall) | A+,,,,,,,,
SPCM-408,,,,,Junior (Fall) | B+,,,,
SPMT-201,,,,,Sophomore (Fall) | A,Junior (Spring) | A,,,
SPMT-240,,,,,Sophomore (Fall) | B-,Senior (Fall) | A+,,,
SPMT-314,,,,,,Senior (Spring) | A,,,
SPMT-339,,,,,Junior (Fall) | A,Senior (Fall) | B+,,,
SPMT-487,,,,,,Senior (Fall) | A+,,,
STAT-100,,,,,,Sophomore (Spring) | B,,Sophomore (Fall) | A-,
STAT-158,Sophomore (Summer) | A,Junior (Spring) | A,Junior (Spring) | A,,,Sophomore (Spring) | B-,Junior (Spring) | A,,
STAT-192,,,,,,Freshman (Fall) | A-,,,
STAT-201,Sophomore (Spring) | NGC,,Senior (Summer) | A+,,Sophomore (Spring) | NGC,Junior (Fall) | NGC,Junior (Fall) | NGC,,Junior (Spring) | NGC
STAT-204,Junior (Fall) | NGC,,,,Junior (Spring) | NGC,Junior (Spring) | NGC,,,Junior (Spring) | NGC
STAT-301,Junior (Fall) | A,Junior (Fall) | A,Junior (Spring) | A-,Junior (Spring) | C,Junior (Fall) | A,Junior (Fall) | C,Senior (Fall) | A,,Junior (Fall) | B
STAT-302A,,,,,Senior (Fall) | A+,Sophomore (Fall) | A,,,
