course_id,major_group,enrollments
AREC-202,Environmental and Public Health,1
AREC-202,Exercise Science,10
AREC-202,Health Promotion,4
AREC-202,Microbiology and Infectious Disease,3
AREC-202,Other,1
AREC-222,Anatomy and Physiology,1
AREC-222,Health Promotion,1
AREC-222,Microbiology and Infectious Disease,1
AREC-240,Environmental and Public Health,1
AREC-240,Microbiology and Infectious Disease,1
AREC-342,Environmental and Public Health,2
AREC-342,Exercise Science,1
AREC-342,Microbiology and Infectious Disease,1
AREC-375,Microbiology and Infectious Disease,1
ART-100,Anatomy and Physiology,47
ART-100,Behavioral and Cognitive Neuroscience,18
ART-100,Cell and Molecular Neuroscience,4
ART-100,Environmental and Public Health,6
ART-100,Exercise Science,107
ART-100,Health Promotion,63
ART-100,Microbiology and Infectious Disease,23
ART-100,Neuroscience,3
ART-100,Other,9
ART-105,Exercise Science,1
ART-105,Microbiology and Infectious Disease,1
ART-110,Exercise Science,1
ART-111,Exercise Science,1
ART-120,Exercise Science,1
ART-135,Anatomy and Physiology,1
ART-135,Exercise Science,2
ART-160,Exercise Science,1
ART-170,Exercise Science,1
ART-200,Health Promotion,3
ART-236,Anatomy and Physiology,1
ART-240,Anatomy and Physiology,1
ART-275J,Anatomy and Physiology,1
ART-275J,Exercise Science,1
ART-340,Anatomy and Physiology,1
AS-101,Behavioral and Cognitive Neuroscience,1
AS-101,Exercise Science,6
AS-101,Health Promotion,4
AS-101,Other,1
AS-102,Behavioral and Cognitive Neuroscience,1
AS-102,Exercise Science,4
AS-102,Health Promotion,3
AS-196A,Behavioral and Cognitive Neuroscience,1
AS-196A,Exercise Science,6
AS-196A,Health Promotion,4
AS-196A,Other,1
AS-196B,Behavioral and Cognitive Neuroscience,1
AS-196B,Exercise Science,4
AS-196B,Health Promotion,3
AS-201,Behavioral and Cognitive Neuroscience,1
AS-201,Exercise Science,3
AS-201,Health Promotion,3
AS-202,Exercise Science,1
AS-202,Health Promotion,1
AS-296A,Behavioral and Cognitive Neuroscience,1
AS-296A,Exercise Science,3
AS-296A,Health Promotion,3
AS-296B,Exercise Science,1
AS-296B,Health Promotion,1
AS-301,Exercise Science,1
AS-301,Health Promotion,1
AS-302,Exercise Science,1
AS-396A,Exercise Science,1
AS-396A,Health Promotion,1
AS-396B,Exercise Science,1
AS-401,Exercise Science,1
AS-496A,Exercise Science,1
ATS-150,Anatomy and Physiology,3
ATS-150,Behavioral and Cognitive Neuroscience,1
ATS-150,Exercise Science,2
ATS-150,Health Promotion,3
ATS-150,Microbiology and Infectious Disease,3
ATS-350,Anatomy and Physiology,1
ATS-350,Environmental and Public Health,3
ATS-350,Exercise Science,2
ATS-351,Anatomy and Physiology,1
BC-192,Anatomy and Physiology,16
BC-192,Behavioral and Cognitive Neuroscience,6
BC-192,Environmental and Public Health,2
BC-192,Exercise Science,10
BC-192,Microbiology and Infectious Disease,8
BC-192,Other,4
BC-295,Anatomy and Physiology,1
BC-351,Anatomy and Physiology,183
BC-351,Behavioral and Cognitive Neuroscience,39
BC-351,Environmental and Public Health,16
BC-351,Exercise Science,22
BC-351,Health Promotion,1
BC-351,Microbiology and Infectious Disease,91
BC-351,Other,9
BC-401,Anatomy and Physiology,1
BC-401,Behavioral and Cognitive Neuroscience,2
BC-401,Cell and Molecular Neuroscience,33
BC-401,Environmental and Public Health,1
BC-401,Microbiology and Infectious Disease,1
BC-403,Behavioral and Cognitive Neuroscience,1
BC-403,Cell and Molecular Neuroscience,17
BC-404,Behavioral and Cognitive Neuroscience,1
BC-404,Cell and Molecular Neuroscience,18
BC-405,Cell and Molecular Neuroscience,1
BC-411,Cell and Molecular Neuroscience,2
BC-463,Behavioral and Cognitive Neuroscience,1
BC-463,Cell and Molecular Neuroscience,1
BC-465,Anatomy and Physiology,3
BC-465,Cell and Molecular Neuroscience,14
BC-475,Anatomy and Physiology,2
BC-484,Anatomy and Physiology,6
BC-484,Behavioral and Cognitive Neuroscience,1
BC-484,Cell and Molecular Neuroscience,14
BC-484,Exercise Science,1
BC-484,Other,4
BC-496,Behavioral and Cognitive Neuroscience,1
BC-496,Cell and Molecular Neuroscience,5
BC-498,Anatomy and Physiology,3
BC-566,Anatomy and Physiology,1
BIOM-100,Anatomy and Physiology,5
BIOM-100,Cell and Molecular Neuroscience,1
BIOM-100,Exercise Science,10
BIOM-100,Health Promotion,1
BIOM-100,Microbiology and Infectious Disease,3
BIOM-109,Anatomy and Physiology,2
BIOM-109,Health Promotion,2
BIOM-109,Microbiology and Infectious Disease,2
BIOM-200,Anatomy and Physiology,4
BIOM-200,Exercise Science,2
BIOM-300,Anatomy and Physiology,4
BIOM-300,Exercise Science,2
BIOM-304,Anatomy and Physiology,1
BIOM-350A,Behavioral and Cognitive Neuroscience,1
BIOM-350A,Exercise Science,1
BIOM-350B,Anatomy and Physiology,1
BIOM-350C,Anatomy and Physiology,2
BMS-200,Anatomy and Physiology,97
BMS-200,Behavioral and Cognitive Neuroscience,30
BMS-200,Cell and Molecular Neuroscience,11
BMS-200,Environmental and Public Health,18
BMS-200,Exercise Science,167
BMS-200,Health Promotion,28
BMS-200,Microbiology and Infectious Disease,12
BMS-200,Other,6
BMS-260,Anatomy and Physiology,616
BMS-260,Environmental and Public Health,3
BMS-260,Exercise Science,18
BMS-260,Health Promotion,4
BMS-260,Microbiology and Infectious Disease,6
BMS-260,Other,6
BMS-296,Anatomy and Physiology,67
BMS-296,Exercise Science,1
BMS-296,Microbiology and Infectious Disease,1
BMS-300,Anatomy and Physiology,358
BMS-300,Behavioral and Cognitive Neuroscience,82
BMS-300,Cell and Molecular Neuroscience,42
BMS-300,Environmental and Public Health,30
BMS-300,Exercise Science,432
BMS-300,Health Promotion,92
BMS-300,Microbiology and Infectious Disease,89
BMS-300,Neuroscience,1
BMS-300,Other,20
