course_id,major_group,enrollments
CIS-240,Anatomy and Physiology,1
CIS-310,Anatomy and Physiology,1
CIS-320,Anatomy and Physiology,1
CIS-340,Anatomy and Physiology,1
CIS-370,Anatomy and Physiology,1
CIS-411,Anatomy and Physiology,1
CIS-575,Anatomy and Physiology,1
CIVE-102,Behavioral and Cognitive Neuroscience,2
CIVE-102,Health Promotion,2
CIVE-103,Health Promotion,2
CIVE-260,Environmental and Public Health,1
CIVE-260,Exercise Science,2
CIVE-261,Anatomy and Physiology,1
CIVE-261,Exercise Science,2
CIVE-360,Anatomy and Physiology,1
CO-130,Anatomy and Physiology,5
CO-130,Behavioral and Cognitive Neuroscience,1
CO-130,Exercise Science,17
CO-130,Health Promotion,11
CO-130,Neuroscience,1
CO-130,Other,2
CO-150,Anatomy and Physiology,186
CO-150,Behavioral and Cognitive Neuroscience,48
CO-150,Cell and Molecular Neuroscience,25
CO-150,Environmental and Public Health,22
CO-150,Exercise Science,360
CO-150,Health Promotion,185
CO-150,Microbiology and Infectious Disease,51
CO-150,Neuroscience,9
CO-150,Other,23
CO-300,Anatomy and Physiology,47
CO-300,Behavioral and Cognitive Neuroscience,38
CO-300,Cell and Molecular Neuroscience,13
CO-300,Environmental and Public Health,13
CO-300,Exercise Science,10
CO-300,Health Promotion,12
CO-300,Microbiology and Infectious Disease,18
CO-300,Neuroscience,3
CO-300,Other,5
CO-301A,Anatomy and Physiology,3
CO-301A,Microbiology and Infectious Disease,2
CO-301B,Anatomy and Physiology,93
CO-301B,Behavioral and Cognitive Neuroscience,32
CO-301B,Cell and Molecular Neuroscience,23
CO-301B,Environmental and Public Health,17
CO-301B,Exercise Science,294
CO-301B,Health Promotion,166
CO-301B,Microbiology and Infectious Disease,34
CO-301B,Neuroscience,2
CO-301B,Other,12
CO-302,Health Promotion,1
CON-101,Anatomy and Physiology,1
CON-101,Health Promotion,1
CON-131,Anatomy and Physiology,1
CON-151,Anatomy and Physiology,1
CON-151,Microbiology and Infectious Disease,1
CON-192,Anatomy and Physiology,1
CON-251,Anatomy and Physiology,2
CON-253,Anatomy and Physiology,2
CON-265,Anatomy and Physiology,2
CON-317,Anatomy and Physiology,1
CON-353,Anatomy and Physiology,3
CON-358,Anatomy and Physiology,1
CON-366,Anatomy and Physiology,2
CS-110,Anatomy and Physiology,6
CS-110,Behavioral and Cognitive Neuroscience,18
CS-110,Cell and Molecular Neuroscience,2
CS-110,Environmental and Public Health,3
CS-110,Exercise Science,18
CS-110,Health Promotion,14
CS-110,Microbiology and Infectious Disease,5
CS-110,Other,8
CS-150B,Anatomy and Physiology,29
CS-150B,Behavioral and Cognitive Neuroscience,5
CS-150B,Cell and Molecular Neuroscience,17
CS-150B,Environmental and Public Health,3
CS-150B,Exercise Science,27
CS-150B,Health Promotion,13
CS-150B,Microbiology and Infectious Disease,10
CS-150B,Other,5
CS-152,Anatomy and Physiology,2
CS-152,Exercise Science,2
CS-152,Health Promotion,2
CS-152,Microbiology and Infectious Disease,6
CS-162,Cell and Molecular Neuroscience,2
CS-162,Exercise Science,2
CS-162,Health Promotion,2
CS-162,Microbiology and Infectious Disease,4
CS-163,Anatomy and Physiology,1
CS-163,Cell and Molecular Neuroscience,2
CS-163,Health Promotion,2
CS-164,Anatomy and Physiology,7
CS-164,Behavioral and Cognitive Neuroscience,2
CS-164,Cell and Molecular Neuroscience,4
CS-164,Exercise Science,6
CS-164,Microbiology and Infectious Disease,4
CS-164,Other,1
CS-165,Anatomy and Physiology,1
CS-165,Cell and Molecular Neuroscience,4
CS-165,Exercise Science,4
CS-165,Health Promotion,2
CS-192,Exercise Science,3
CS-201,Anatomy and Physiology,2
CS-201,Cell and Molecular Neuroscience,1
CS-201,Exercise Science,1
CS-214,Cell and Molecular Neuroscience,4
CS-214,Health Promotion,2
CS-220,Anatomy and Physiology,1
CS-220,Cell and Molecular Neuroscience,7
CS-220,Exercise Science,4
CS-220,Microbiology and Infectious Disease,4
CS-250,Cell and Molecular Neuroscience,1
CS-312,Cell and Molecular Neuroscience,2
CS-314,Cell and Molecular Neuroscience,1
CS-320,Cell and Molecular Neuroscience,1
CS-345,Cell and Molecular Neuroscience,1
CS-345,Microbiology and Infectious Disease,1
CS-356,Cell and Molecular Neuroscience,2
CS-425,Microbiology and Infectious Disease,1
CS-435,Cell and Molecular Neuroscience,2
CS-480A8,Cell and Molecular Neuroscience,1
CT-301,Health Promotion,2
D-110,Anatomy and Physiology,8
D-110,Behavioral and Cognitive Neuroscience,3
D-110,Exercise Science,14
D-110,Health Promotion,5
D-110,Microbiology and Infectious Disease,1
D-110,Neuroscience,1
D-110,Other,3
D-120A,Health Promotion,1
D-120B,Exercise Science,1
D-220A,Behavioral and Cognitive Neuroscience,1
DM-182A,Environmental and Public Health,1
DM-192A,Exercise Science,1
DM-192B,Behavioral and Cognitive Neuroscience,1
DM-192B,Exercise Science,1
DM-272,Exercise Science,1
DSCI-235,Cell and Molecular Neuroscience,2
DSCI-320,Cell and Molecular Neuroscience,3
DSCI-335,Behavioral and Cognitive Neuroscience,1
DSCI-335,Cell and Molecular Neuroscience,1
DSCI-336,Cell and Molecular Neuroscience,1
DSCI-369,Anatomy and Physiology,2
DSCI-369,Cell and Molecular Neuroscience,1
DSCI-369,Other,1
DSCI-445,Cell and Molecular Neuroscience,1
DSCI-478,Cell and Molecular Neuroscience,1
E-140,Anatomy and Physiology,4
E-140,Behavioral and Cognitive Neuroscience,3
E-140,Cell and Molecular Neuroscience,1
E-140,Environmental and Public Health,1
E-140,Exercise Science,4
E-140,Health Promotion,2
E-140,Microbiology and Infectious Disease,1
E-142,Anatomy and Physiology,3
E-142,Behavioral and Cognitive Neuroscience,2
E-142,Cell and Molecular Neuroscience,1
E-142,Exercise Science,3
E-142,Health Promotion,1
E-142,Microbiology and Infectious Disease,1
E-150,Health Promotion,1
E-202,Anatomy and Physiology,1
E-204,Microbiology and Infectious Disease,1
E-206,Cell and Molecular Neuroscience,1
E-210,Anatomy and Physiology,1
E-210,Behavioral and Cognitive Neuroscience,3
E-210,Cell and Molecular Neuroscience,1
E-210,Exercise Science,2
E-210,Health Promotion,2
E-210,Microbiology and Infectious Disease,4
E-210,Other,1
E-232,Anatomy and Physiology,4
E-232,Behavioral and Cognitive Neuroscience,2
E-232,Exercise Science,8
E-232,Health Promotion,3
E-232,Microbiology and Infectious Disease,1
E-232,Neuroscience,1
E-236,Anatomy and Physiology,7
E-236,Behavioral and Cognitive Neuroscience,1
E-236,Cell and Molecular Neuroscience,1
E-236,Exercise Science,10
E-236,Health Promotion,5
E-236,Microbiology and Infectious Disease,6
E-236,Other,1
E-237,Anatomy and Physiology,1
E-237,Environmental and Public Health,1
E-237,Exercise Science,1
E-238,Anatomy and Physiology,8
E-238,Exercise Science,4
E-238,Microbiology and Infectious Disease,1
E-240,Health Promotion,2
E-242,Anatomy and Physiology,1
E-242,Exercise Science,1
E-242,Microbiology and Infectious Disease,1
E-245,Anatomy and Physiology,3
E-245,Behavioral and Cognitive Neuroscience,1
E-245,Cell and Molecular Neuroscience,2
E-245,Exercise Science,2
E-245,Health Promotion,2
E-245,Microbiology and Infectious Disease,1
E-270,Anatomy and Physiology,1
E-270,Behavioral and Cognitive Neuroscience,1
E-270,Exercise Science,2
E-270,Health Promotion,3
E-276,Anatomy and Physiology,5
E-276,Exercise Science,1
E-276,Microbiology and Infectious Disease,1
E-277,Health Promotion,1
E-277,Microbiology and Infectious Disease,1
E-311A,Exercise Science,2
E-311A,Health Promotion,2
E-311A,Microbiology and Infectious Disease,2
E-311B,Exercise Science,1
E-311B,Health Promotion,2
E-311B,Microbiology and Infectious Disease,2
E-328,Behavioral and Cognitive Neuroscience,1
E-333,Exercise Science,1
E-352,Cell and Molecular Neuroscience,1
E-412A,Exercise Science,2
EAP-102,Anatomy and Physiology,1
ECE-102,Cell and Molecular Neuroscience,2
ECE-102,Exercise Science,2
ECE-204,Anatomy and Physiology,1
ECE-204,Exercise Science,1
ECON-101,Anatomy and Physiology,1
ECON-101,Cell and Molecular Neuroscience,1
ECON-101,Environmental and Public Health,1
ECON-101,Exercise Science,5
ECON-101,Health Promotion,3
ECON-202,Anatomy and Physiology,25
ECON-202,Behavioral and Cognitive Neuroscience,2
ECON-202,Cell and Molecular Neuroscience,6
ECON-202,Environmental and Public Health,4
ECON-202,Exercise Science,67
ECON-202,Health Promotion,100
ECON-202,Microbiology and Infectious Disease,5
ECON-202,Other,16
ECON-204,Anatomy and Physiology,4
ECON-204,Exercise Science,5
ECON-204,Health Promotion,12
ECON-204,Other,4
ECON-211,Anatomy and Physiology,19
ECON-211,Behavioral and Cognitive Neuroscience,5
ECON-211,Cell and Molecular Neuroscience,3
ECON-211,Environmental and Public Health,2
ECON-211,Exercise Science,19
ECON-211,Health Promotion,19
ECON-211,Microbiology and Infectious Disease,3
ECON-211,Neuroscience,1
ECON-211,Other,3
ECON-212,Anatomy and Physiology,3
ECON-212,Behavioral and Cognitive Neuroscience,5
ECON-212,Cell and Molecular Neuroscience,1
ECON-212,Environmental and Public Health,2
ECON-212,Exercise Science,6
ECON-212,Health Promotion,2
ECON-235,Exercise Science,1
ECON-240,Behavioral and Cognitive Neuroscience,1
ECON-240,Environmental and Public Health,1
ECON-240,Exercise Science,1
ECON-240,Health Promotion,2
EDUC-275,Anatomy and Physiology,1
EDUC-275,Exercise Science,2
EDUC-275,Health Promotion,3
EDUC-275,Microbiology and Infectious Disease,2
ENGR-101,Cell and Molecular Neuroscience,1
ENGR-101,Microbiology and Infectious Disease,1
ENGR-120,Exercise Science,1
ENGR-180A2,Anatomy and Physiology,3
ENGR-180A2,Behavioral and Cognitive Neuroscience,1
ENGR-180A2,Cell and Molecular Neuroscience,2
ENGR-180A2,Exercise Science,4
ENGR-180A2,Health Promotion,1
ENGR-180A2,Microbiology and Infectious Disease,1
ENGR-533,Anatomy and Physiology,1
ERHS-210,Environmental and Public Health,1
ERHS-220,Anatomy and Physiology,25
ERHS-220,Environmental and Public Health,59
ERHS-220,Exercise Science,1
ERHS-220,Health Promotion,1
ERHS-220,Microbiology and Infectious Disease,12
ERHS-220,Other,4
ERHS-230,Environmental and Public Health,21
ERHS-230,Microbiology and Infectious Disease,1
ERHS-230,Other,2
ERHS-320,Environmental and Public Health,23
ERHS-320,Microbiology and Infectious Disease,6
ERHS-320,Other,2
ERHS-332,Anatomy and Physiology,1
ERHS-332,Environmental and Public Health,9
ERHS-332,Microbiology and Infectious Disease,5
ERHS-332,Other,1
ERHS-340,Anatomy and Physiology,12
ERHS-340,Environmental and Public Health,2
ERHS-340,Exercise Science,1
ERHS-340,Microbiology and Infectious Disease,3
ERHS-350,Environmental and Public Health,14
ERHS-350,Other,2
ERHS-380A1,Environmental and Public Health,1
ERHS-410,Environmental and Public Health,3
ERHS-410,Other,2
ERHS-430,Anatomy and Physiology,4
ERHS-430,Environmental and Public Health,28
ERHS-430,Microbiology and Infectious Disease,10
ERHS-430,Other,4
ERHS-446,Environmental and Public Health,16
ERHS-446,Other,2
ERHS-448,Environmental and Public Health,12
ERHS-450,Environmental and Public Health,6
ERHS-450,Microbiology and Infectious Disease,2
ERHS-450,Other,2
ERHS-479,Environmental and Public Health,24
ERHS-479,Other,2
ERHS-482A,Anatomy and Physiology,5
ERHS-482A,Environmental and Public Health,1
ERHS-484,Environmental and Public Health,1
ERHS-487,Environmental and Public Health,7
ERHS-487,Other,2
ERHS-498,Environmental and Public Health,1
ERHS-498,Other,1
ERHS-501,Health Promotion,1
ERHS-566,Other,1
ESS-120,Environmental and Public Health,1
ESS-120,Exercise Science,2
ESS-120,Health Promotion,2
ESS-120,Microbiology and Infectious Disease,1
ESS-129,Environmental and Public Health,1
ESS-129,Exercise Science,3
ESS-129,Health Promotion,2
ESS-129,Microbiology and Infectious Disease,1
ESS-130,Environmental and Public Health,1
ESS-130,Exercise Science,2
ESS-130,Health Promotion,1
ESS-130,Microbiology and Infectious Disease,1
ESS-210,Exercise Science,1
ETST-100,Anatomy and Physiology,17
ETST-100,Behavioral and Cognitive Neuroscience,8
ETST-100,Cell and Molecular Neuroscience,2
ETST-100,Environmental and Public Health,2
ETST-100,Exercise Science,31
ETST-100,Health Promotion,12
ETST-100,Microbiology and Infectious Disease,6
ETST-100,Other,1
ETST-110,Anatomy and Physiology,1
ETST-110,Behavioral and Cognitive Neuroscience,1
ETST-110,Exercise Science,1
ETST-110,Microbiology and Infectious Disease,1
ETST-120,Exercise Science,2
ETST-120,Health Promotion,1
ETST-201,Microbiology and Infectious Disease,1
ETST-205,Anatomy and Physiology,3
ETST-205,Behavioral and Cognitive Neuroscience,2
ETST-205,Exercise Science,6
ETST-205,Health Promotion,7
ETST-205,Microbiology and Infectious Disease,3
ETST-205,Neuroscience,1
ETST-240,Anatomy and Physiology,3
ETST-240,Exercise Science,2
ETST-240,Microbiology and Infectious Disease,2
ETST-240,Other,1
ETST-242,Health Promotion,1
ETST-250,Anatomy and Physiology,2
ETST-250,Behavioral and Cognitive Neuroscience,3
ETST-250,Cell and Molecular Neuroscience,1
ETST-250,Environmental and Public Health,1
ETST-250,Exercise Science,2
ETST-250,Health Promotion,2
ETST-250,Microbiology and Infectious Disease,1
ETST-250,Other,1
ETST-252,Anatomy and Physiology,2
ETST-252,Behavioral and Cognitive Neuroscience,2
ETST-252,Environmental and Public Health,1
ETST-252,Exercise Science,1
ETST-252,Health Promotion,3
ETST-252,Microbiology and Infectious Disease,1
ETST-253,Anatomy and Physiology,1
ETST-253,Behavioral and Cognitive Neuroscience,1
ETST-253,Cell and Molecular Neuroscience,2
ETST-253,Environmental and Public Health,1
ETST-253,Exercise Science,2
ETST-255,Exercise Science,2
ETST-255,Health Promotion,1
ETST-257,Exercise Science,1
ETST-260,Environmental and Public Health,1
ETST-260,Microbiology and Infectious Disease,1
ETST-265,Exercise Science,2
ETST-270,Exercise Science,1
ETST-277,Exercise Science,1
ETST-277,Health Promotion,2
ETST-305,Anatomy and Physiology,1
ETST-305,Microbiology and Infectious Disease,1
ETST-354,Anatomy and Physiology,1
ETST-420,Exercise Science,2
ETST-430,Microbiology and Infectious Disease,1
ETST-444,Anatomy and Physiology,1
F-101,Exercise Science,2
F-209,Exercise Science,1
F-313,Exercise Science,2
FACS-320,Environmental and Public Health,1
FACS-320,Exercise Science,5
FACS-320,Health Promotion,5
FACS-320,Microbiology and Infectious Disease,1
FACS-320,Other,1
FIN-200,Anatomy and Physiology,6
FIN-200,Environmental and Public Health,3
FIN-200,Exercise Science,11
FIN-200,Health Promotion,20
FIN-200,Microbiology and Infectious Disease,5
FIN-200,Neuroscience,1
FIN-300,Anatomy and Physiology,1
FIN-300,Health Promotion,1
FIN-305,Anatomy and Physiology,2
FIN-305,Cell and Molecular Neuroscience,1
FIN-305,Environmental and Public Health,1
FIN-305,Exercise Science,7
FIN-305,Health Promotion,5
FIN-310,Health Promotion,1
FSHN-115,Anatomy and Physiology,19
FSHN-115,Exercise Science,17
FSHN-115,Health Promotion,15
FSHN-115,Other,2
FSHN-125,Anatomy and Physiology,7
FSHN-125,Behavioral and Cognitive Neuroscience,1
FSHN-125,Environmental and Public Health,1
FSHN-125,Exercise Science,11
FSHN-125,Health Promotion,6
FSHN-125,Microbiology and Infectious Disease,1
FSHN-125,Other,2
FSHN-150,Anatomy and Physiology,33
FSHN-150,Behavioral and Cognitive Neuroscience,7
FSHN-150,Environmental and Public Health,3
FSHN-150,Exercise Science,617
FSHN-150,Health Promotion,259
FSHN-150,Microbiology and Infectious Disease,3
FSHN-150,Other,26
FSHN-180A2,Anatomy and Physiology,10
FSHN-180A2,Health Promotion,2
FSHN-192,Exercise Science,2
FSHN-192,Health Promotion,2
FSHN-220,Anatomy and Physiology,1
FSHN-220,Exercise Science,26
FSHN-220,Health Promotion,22
FSHN-220,Other,2
FSHN-292,Exercise Science,1
FSHN-292,Health Promotion,1
FSHN-300,Environmental and Public Health,1
FSHN-300,Exercise Science,3
FSHN-301,Exercise Science,1
FSHN-340,Anatomy and Physiology,1
FSHN-340,Exercise Science,12
FSHN-340,Health Promotion,6
FSHN-342A,Exercise Science,1
FSHN-342A,Health Promotion,2
FSHN-350,Anatomy and Physiology,52
FSHN-350,Behavioral and Cognitive Neuroscience,1
FSHN-350,Environmental and Public Health,2
FSHN-350,Exercise Science,48
FSHN-350,Health Promotion,15
FSHN-350,Other,3
FSHN-360,Health Promotion,1
FSHN-382A,Exercise Science,2
FSHN-428,Behavioral and Cognitive Neuroscience,1
FSHN-428,Exercise Science,3
FSHN-428,Health Promotion,1
FSHN-435,Exercise Science,2
FSHN-444,Anatomy and Physiology,3
FSHN-444,Exercise Science,19
FSHN-444,Health Promotion,15
FSHN-445,Exercise Science,1
FSHN-449,Behavioral and Cognitive Neuroscience,1
FSHN-449,Exercise Science,3
FSHN-449,Health Promotion,1
FSHN-451,Anatomy and Physiology,1
FSHN-451,Exercise Science,2
FSHN-451,Health Promotion,1
FSHN-453,Exercise Science,2
FSHN-453,Health Promotion,1
FSHN-455,Anatomy and Physiology,2
FSHN-455,Exercise Science,2
FSHN-459,Anatomy and Physiology,2
FSHN-459,Behavioral and Cognitive Neuroscience,1
FSHN-459,Exercise Science,15
FSHN-459,Health Promotion,3
FSHN-461,Exercise Science,1
FSHN-470,Behavioral and Cognitive Neuroscience,1
FSHN-480A1,Exercise Science,1
FSHN-486B,Exercise Science,1
FSHN-525,Health Promotion,1
FTEC-110,Cell and Molecular Neuroscience,2
FTEC-110,Health Promotion,1
FTEC-115,Anatomy and Physiology,2
FTEC-115,Environmental and Public Health,1
FTEC-115,Exercise Science,4
FTEC-115,Health Promotion,1
FTEC-115,Microbiology and Infectious Disease,2
FTEC-155,Exercise Science,1
FTEC-205,Exercise Science,1
FTEC-210,Anatomy and Physiology,2
FTEC-210,Health Promotion,2
FTEC-292,Health Promotion,1
FTEC-360,Microbiology and Infectious Disease,2
FTEC-400,Anatomy and Physiology,1
FTEC-400,Environmental and Public Health,19
FTEC-400,Other,2
FTEC-574,Microbiology and Infectious Disease,2
FTEC-574,Other,1
FW-104,Behavioral and Cognitive Neuroscience,1
FW-104,Environmental and Public Health,1
FW-104,Exercise Science,5
FW-104,Health Promotion,4
FW-104,Microbiology and Infectious Disease,1
FW-179,Anatomy and Physiology,1
FW-179,Environmental and Public Health,1
FW-179,Exercise Science,2
FW-179,Health Promotion,2
FW-380A1,Exercise Science,2
GEOL-110,Exercise Science,3
GEOL-110,Health Promotion,1
GEOL-120,Anatomy and Physiology,2
GEOL-120,Exercise Science,7
GEOL-120,Health Promotion,4
GEOL-120,Microbiology and Infectious Disease,1
GEOL-120,Other,3
GEOL-121,Anatomy and Physiology,3
GEOL-121,Exercise Science,6
GEOL-121,Health Promotion,4
GEOL-121,Other,4
GEOL-122,Exercise Science,3
GEOL-122,Health Promotion,4
GEOL-124,Anatomy and Physiology,1
GEOL-124,Other,1
GEOL-150,Environmental and Public Health,2
GEOL-150,Exercise Science,2
GEOL-154,Environmental and Public Health,2
GEOL-154,Exercise Science,2
GEOL-192,Exercise Science,1
GEOL-250,Environmental and Public Health,2
GES-101,Environmental and Public Health,1
GES-101,Exercise Science,2
GES-101,Health Promotion,2
GES-101,Microbiology and Infectious Disease,1
GES-120,Environmental and Public Health,1
GES-141,Anatomy and Physiology,1
GES-141,Exercise Science,1
GES-141,Health Promotion,2
GES-280A2,Microbiology and Infectious Disease,1
GES-465,Environmental and Public Health,1
GR-100,Environmental and Public Health,1
GR-100,Exercise Science,2
GR-100,Health Promotion,5
GR-100,Microbiology and Infectious Disease,2
GR-102,Anatomy and Physiology,2
GR-102,Exercise Science,3
GR-102,Health Promotion,3
GR-213,Anatomy and Physiology,2
GR-217,Microbiology and Infectious Disease,1
GR-348,Anatomy and Physiology,1
GRAD-544,Anatomy and Physiology,1
GRAD-544,Microbiology and Infectious Disease,5
GRAD-592,Environmental and Public Health,1
HDFS-101,Anatomy and Physiology,29
HDFS-101,Behavioral and Cognitive Neuroscience,8
HDFS-101,Cell and Molecular Neuroscience,1
HDFS-101,Environmental and Public Health,1
HDFS-101,Exercise Science,56
HDFS-101,Health Promotion,74
HDFS-101,Microbiology and Infectious Disease,5
HDFS-101,Other,10
HDFS-201,Anatomy and Physiology,1
HDFS-201,Behavioral and Cognitive Neuroscience,1
HDFS-201,Environmental and Public Health,1
HDFS-201,Health Promotion,2
HDFS-217,Anatomy and Physiology,2
HDFS-217,Exercise Science,1
HDFS-217,Health Promotion,3
HDFS-250,Anatomy and Physiology,2
HDFS-250,Health Promotion,1
HDFS-275,Health Promotion,1
HDFS-277,Anatomy and Physiology,4
HDFS-277,Behavioral and Cognitive Neuroscience,1
HDFS-277,Exercise Science,1
HDFS-277,Health Promotion,1
HDFS-277,Microbiology and Infectious Disease,1
HDFS-277,Other,1
HDFS-310,Anatomy and Physiology,4
HDFS-310,Exercise Science,2
HDFS-310,Health Promotion,2
HDFS-310,Other,2
HDFS-311,Anatomy and Physiology,1
HDFS-311,Exercise Science,2
HDFS-311,Health Promotion,3
HDFS-311,Other,1
HDFS-312,Anatomy and Physiology,1
HDFS-312,Health Promotion,1
HDFS-315,Anatomy and Physiology,2
HDFS-315,Exercise Science,4
HDFS-315,Microbiology and Infectious Disease,1
HDFS-332,Exercise Science,3
HDFS-332,Health Promotion,3
HDFS-334,Health Promotion,4
HDFS-334,Other,1
HDFS-372,Anatomy and Physiology,1
HDFS-372,Behavioral and Cognitive Neuroscience,1
HDFS-403,Anatomy and Physiology,1
HDFS-470A,Anatomy and Physiology,4
HDFS-470A,Behavioral and Cognitive Neuroscience,2
HDFS-470A,Cell and Molecular Neuroscience,1
HDFS-470A,Health Promotion,2
HDFS-470A,Microbiology and Infectious Disease,2
HDFS-484,Anatomy and Physiology,1
HDFS-497B,Other,1
HDFS-497C,Anatomy and Physiology,3
HDFS-497C,Exercise Science,2
HDFS-497C,Health Promotion,1
HDFS-497C,Microbiology and Infectious Disease,2
HDFS-497F,Anatomy and Physiology,1
HDFS-498A,Anatomy and Physiology,5
HES-127,Exercise Science,23
HES-127,Health Promotion,7
HES-127,Other,2
HES-145,Anatomy and Physiology,65
HES-145,Behavioral and Cognitive Neuroscience,21
HES-145,Environmental and Public Health,10
HES-145,Exercise Science,743
HES-145,Health Promotion,311
HES-145,Microbiology and Infectious Disease,9
HES-145,Neuroscience,5
HES-145,Other,42
HES-180A1,Exercise Science,8
HES-180A1,Health Promotion,5
HES-202,Anatomy and Physiology,16
HES-202,Behavioral and Cognitive Neuroscience,6
HES-202,Cell and Molecular Neuroscience,1
HES-202,Environmental and Public Health,2
HES-202,Exercise Science,571
HES-202,Health Promotion,278
HES-202,Microbiology and Infectious Disease,3
HES-202,Other,24
HES-207,Anatomy and Physiology,22
HES-207,Behavioral and Cognitive Neuroscience,2
HES-207,Exercise Science,1178
HES-207,Health Promotion,672
HES-207,Other,48
HES-232,Exercise Science,7
HES-232,Health Promotion,171
HES-232,Other,3
HES-300,Exercise Science,29
HES-300,Health Promotion,160
HES-300,Other,3
HES-303,Anatomy and Physiology,2
HES-303,Behavioral and Cognitive Neuroscience,1
HES-303,Exercise Science,11
HES-303,Health Promotion,163
HES-303,Other,3
HES-307,Anatomy and Physiology,1
HES-307,Exercise Science,130
HES-307,Other,1
HES-309,Exercise Science,14
HES-309,Health Promotion,20
HES-319,Anatomy and Physiology,1
HES-319,Exercise Science,338
HES-340,Anatomy and Physiology,8
HES-340,Exercise Science,558
HES-340,Health Promotion,355
HES-340,Other,6
HES-345,Anatomy and Physiology,5
HES-345,Environmental and Public Health,2
HES-345,Exercise Science,360
HES-345,Health Promotion,210
HES-345,Other,6
HES-354,Anatomy and Physiology,2
HES-354,Exercise Science,58
HES-354,Health Promotion,215
HES-354,Other,5
HES-355,Health Promotion,1
HES-360,Exercise Science,15
HES-360,Health Promotion,17
HES-360,Other,1
HES-379,Anatomy and Physiology,1
HES-379,Behavioral and Cognitive Neuroscience,1
HES-379,Exercise Science,46
HES-379,Health Promotion,58
HES-386,Health Promotion,265
HES-386,Other,4
HES-403,Anatomy and Physiology,9
HES-403,Behavioral and Cognitive Neuroscience,1
HES-403,Exercise Science,204
HES-403,Health Promotion,129
HES-403,Other,3
HES-404,Anatomy and Physiology,1
HES-404,Behavioral and Cognitive Neuroscience,1
HES-404,Exercise Science,191
HES-404,Health Promotion,125
HES-404,Other,3
HES-419,Exercise Science,15
HES-419,Health Promotion,40
HES-420,Exercise Science,22
HES-420,Health Promotion,72
HES-420,Other,3
HES-432,Exercise Science,13
HES-432,Health Promotion,83
HES-432,Other,2
HES-434,Anatomy and Physiology,1
HES-434,Exercise Science,24
HES-434,Health Promotion,106
HES-434,Other,2
HES-440,Exercise Science,5
HES-440,Health Promotion,3
HES-455,Health Promotion,77
HES-455,Other,2
HES-478A,Exercise Science,14
HES-478B,Exercise Science,1
HES-478C,Exercise Science,15
HES-478D,Exercise Science,5
HES-480A2,Health Promotion,13
HES-480A3,Exercise Science,2
HES-480A3,Health Promotion,6
HES-480A4,Exercise Science,6
HES-480A4,Health Promotion,14
HES-484,Anatomy and Physiology,1
HES-484,Exercise Science,13
HES-484,Health Promotion,1
HES-486,Health Promotion,193
HES-486,Other,4
HES-487,Health Promotion,7
HES-487,Other,2
HES-495A,Anatomy and Physiology,2
HES-495A,Exercise Science,7
HES-495A,Health Promotion,2
HES-495C,Health Promotion,1
HIST-100,Anatomy and Physiology,29
HIST-100,Behavioral and Cognitive Neuroscience,4
HIST-100,Environmental and Public Health,3
HIST-100,Exercise Science,47
HIST-100,Health Promotion,36
HIST-100,Microbiology and Infectious Disease,4
HIST-100,Other,2
HIST-101,Anatomy and Physiology,6
HIST-101,Behavioral and Cognitive Neuroscience,6
HIST-101,Cell and Molecular Neuroscience,1
HIST-101,Environmental and Public Health,4
HIST-101,Exercise Science,25
HIST-101,Health Promotion,20
HIST-101,Microbiology and Infectious Disease,6
HIST-101,Other,4
HIST-115,Anatomy and Physiology,1
HIST-115,Exercise Science,1
HIST-115,Health Promotion,2
HIST-115,Neuroscience,1
HIST-115,Other,1
HIST-116,Anatomy and Physiology,2
HIST-116,Environmental and Public Health,1
HIST-116,Exercise Science,1
HIST-120,Anatomy and Physiology,7
HIST-120,Exercise Science,7
HIST-120,Health Promotion,1
HIST-120,Microbiology and Infectious Disease,3
HIST-120,Other,1
HIST-121,Anatomy and Physiology,1
HIST-121,Behavioral and Cognitive Neuroscience,1
HIST-121,Exercise Science,7
HIST-121,Neuroscience,1
HIST-150,Anatomy and Physiology,21
HIST-150,Behavioral and Cognitive Neuroscience,2
HIST-150,Cell and Molecular Neuroscience,2
HIST-150,Environmental and Public Health,2
HIST-150,Exercise Science,37
HIST-150,Health Promotion,26
HIST-150,Microbiology and Infectious Disease,2
HIST-150,Other,6
HIST-151,Anatomy and Physiology,52
HIST-151,Behavioral and Cognitive Neuroscience,13
HIST-151,Cell and Molecular Neuroscience,2
HIST-151,Environmental and Public Health,3
HIST-151,Exercise Science,111
HIST-151,Health Promotion,69
HIST-151,Microbiology and Infectious Disease,16
HIST-151,Neuroscience,2
HIST-151,Other,7
HIST-170,Anatomy and Physiology,5
HIST-170,Behavioral and Cognitive Neuroscience,2
HIST-170,Environmental and Public Health,2
HIST-170,Exercise Science,8
HIST-170,Health Promotion,2
HIST-170,Microbiology and Infectious Disease,1
HIST-170,Other,2
HIST-171,Anatomy and Physiology,15
HIST-171,Behavioral and Cognitive Neuroscience,6
HIST-171,Cell and Molecular Neuroscience,3
HIST-171,Environmental and Public Health,4
HIST-171,Exercise Science,21
HIST-171,Health Promotion,14
HIST-171,Microbiology and Infectious Disease,6
HIST-171,Neuroscience,1
HIST-171,Other,3
HIST-201,Exercise Science,1
HIST-201,Health Promotion,2
