course_id,term_season,major_group,total_enrollments
BC-403,Spring,Cell and Molecular Neuroscience,17
BC-404,Fall,Cell and Molecular Neuroscience,7
BC-404,Spring,Cell and Molecular Neuroscience,11
BC-405,Spring,Cell and Molecular Neuroscience,1
BC-411,Fall,Cell and Molecular Neuroscience,2
BC-463,Fall,Behavioral and Cognitive Neuroscience,1
BC-465,Spring,Cell and Molecular Neuroscience,9
BC-465,Summer,Cell and Molecular Neuroscience,5
BC-475,Fall,Anatomy and Physiology,2
BC-484,Fall,Cell and Molecular Neuroscience,9
BC-484,Spring,Cell and Molecular Neuroscience,5
BC-496,Fall,Cell and Molecular Neuroscience,5
BC-498,Fall,Anatomy and Physiology,2
BC-498,Spring,Anatomy and Physiology,1
BC-566,Spring,Anatomy and Physiology,1
BIOM-100,Fall,Exercise Science,10
BIOM-109,Fall,Anatomy and Physiology,2
BIOM-200,Fall,Anatomy and Physiology,4
BIOM-300,Spring,Anatomy and Physiology,4
BIOM-304,Spring,Anatomy and Physiology,1
BIOM-350A,Summer,Behavioral and Cognitive Neuroscience,1
BIOM-350B,Spring,Anatomy and Physiology,1
BIOM-350C,Spring,Anatomy and Physiology,2
BMS-200,Fall,Exercise Science,71
BMS-200,Spring,Exercise Science,95
BMS-200,Summer,Exercise Science,1
BMS-260,Spring,Anatomy and Physiology,616
BMS-296,Spring,Anatomy and Physiology,67
BMS-300,Fall,Exercise Science,187
BMS-300,Spring,Exercise Science,215
BMS-300,Summer,Exercise Science,30
BMS-301,Fall,Exercise Science,363
BMS-301,Spring,Exercise Science,88
BMS-301,Summer,Exercise Science,48
BMS-302,Fall,Exercise Science,364
BMS-302,Spring,Exercise Science,409
BMS-304,Fall,Anatomy and Physiology,39
BMS-305,Spring,Anatomy and Physiology,78
BMS-320,Fall,Exercise Science,2
BMS-320,Spring,Exercise Science,3
BMS-325,Fall,Behavioral and Cognitive Neuroscience,26
BMS-325,Spring,Anatomy and Physiology,11
BMS-330,Spring,Anatomy and Physiology,16
BMS-345,Fall,Cell and Molecular Neuroscience,38
BMS-345,Spring,Behavioral and Cognitive Neuroscience,52
BMS-384,Fall,Anatomy and Physiology,52
BMS-384,Spring,Anatomy and Physiology,16
BMS-384,Summer,Anatomy and Physiology,1
BMS-400,Spring,Anatomy and Physiology,8
BMS-401,Fall,Anatomy and Physiology,14
BMS-401,Spring,Anatomy and Physiology,6
BMS-405,Spring,Anatomy and Physiology,4
BMS-409,Fall,Anatomy and Physiology,23
BMS-420,Fall,Anatomy and Physiology,91
BMS-421,Fall,Anatomy and Physiology,128
BMS-425,Spring,Cell and Molecular Neuroscience,2
BMS-430,Fall,Anatomy and Physiology,42
BMS-450,Spring,Anatomy and Physiology,38
BMS-450,Summer,Anatomy and Physiology,9
BMS-460,Fall,Anatomy and Physiology,56
BMS-461,Fall,Anatomy and Physiology,41
BMS-461,Spring,Anatomy and Physiology,2
BMS-487,Fall,Anatomy and Physiology,1
BMS-495,Fall,Anatomy and Physiology,1
BMS-495,Spring,Anatomy and Physiology,2
