course_id,major_group,total_enrollments,most_common_grade,most_common_level,most_common_term,timing,timing_grade
ANEQ-180A2,Microbiology and Infectious Disease,1,C,Freshman,Fall,Freshman (Fall),Freshman (Fall) | C
ANEQ-193,Anatomy and Physiology,4,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
ANEQ-193,Exercise Science,6,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
ANEQ-193,Health Promotion,3,B,Freshman,Fall,Freshman (Fall),Freshman (Fall) | B
ANEQ-250,Anatomy and Physiology,1,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
ANEQ-250,Exercise Science,1,B,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | B
ANEQ-292,Anatomy and Physiology,1,A+,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A+
ANEQ-292,Exercise Science,1,A+,Junior,Spring,Junior (Spring),Junior (Spring) | A+
ANEQ-292,Microbiology and Infectious Disease,1,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
ANEQ-293,Anatomy and Physiology,1,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
ANEQ-293,Microbiology and Infectious Disease,1,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
ANEQ-300A,Anatomy and Physiology,1,A+,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A+
ANEQ-300A,Exercise Science,1,F,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | F
ANEQ-305,Anatomy and Physiology,3,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
ANEQ-305,Exercise Science,1,B,Junior,Spring,Junior (Spring),Junior (Spring) | B
ANEQ-305,Microbiology and Infectious Disease,3,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
ANEQ-310,Anatomy and Physiology,2,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
ANEQ-320,Anatomy and Physiology,14,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
ANEQ-320,Microbiology and Infectious Disease,1,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
ANEQ-328,Anatomy and Physiology,2,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
ANEQ-328,Microbiology and Infectious Disease,2,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
ANEQ-334,Microbiology and Infectious Disease,1,A,Senior,Summer,Senior (Summer),Senior (Summer) | A
ANEQ-344,Microbiology and Infectious Disease,1,B+,Senior,Fall,Senior (Fall),Senior (Fall) | B+
ANEQ-345,Microbiology and Infectious Disease,1,W,Senior,Spring,Senior (Spring),Senior (Spring) | W
ANEQ-346,Microbiology and Infectious Disease,1,C,Senior,Fall,Senior (Fall),Senior (Fall) | C
ANEQ-351,Microbiology and Infectious Disease,1,A-,Senior,Fall,Senior (Fall),Senior (Fall) | A-
ANEQ-360,Anatomy and Physiology,2,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
ANEQ-360,Microbiology and Infectious Disease,1,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
ANEQ-365,Microbiology and Infectious Disease,1,A+,Senior,Spring,Senior (Spring),Senior (Spring) | A+
ANEQ-384,Anatomy and Physiology,1,S,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | S
ANEQ-384,Microbiology and Infectious Disease,1,S,Junior,Fall,Junior (Fall),Junior (Fall) | S
ANEQ-440,Microbiology and Infectious Disease,1,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
ANEQ-487B,Microbiology and Infectious Disease,1,S,Senior,Summer,Senior (Summer),Senior (Summer) | S
ANEQ-522,Anatomy and Physiology,1,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
ANTH-100,Anatomy and Physiology,2,B,Freshman,Fall,Freshman (Fall),Freshman (Fall) | B
ANTH-100,Environmental and Public Health,1,C,Freshman,Fall,Freshman (Fall),Freshman (Fall) | C
ANTH-100,Exercise Science,8,B,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | B
ANTH-100,Health Promotion,4,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
ANTH-100,Microbiology and Infectious Disease,3,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
ANTH-100,Other,2,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
ANTH-120,Anatomy and Physiology,2,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
ANTH-120,Behavioral and Cognitive Neuroscience,2,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
ANTH-120,Exercise Science,10,B,Freshman,Fall,Freshman (Fall),Freshman (Fall) | B
ANTH-120,Health Promotion,4,B,Freshman,Fall,Freshman (Fall),Freshman (Fall) | B
ANTH-120,Microbiology and Infectious Disease,2,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
ANTH-120,Other,3,C,Freshman,Fall,Freshman (Fall),Freshman (Fall) | C
ANTH-140,Anatomy and Physiology,17,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
ANTH-140,Behavioral and Cognitive Neuroscience,4,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
ANTH-140,Cell and Molecular Neuroscience,2,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
ANTH-140,Environmental and Public Health,2,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
ANTH-140,Exercise Science,26,B,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | B
ANTH-140,Health Promotion,12,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
ANTH-140,Microbiology and Infectious Disease,7,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
ANTH-140,Neuroscience,1,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
ANTH-200,Anatomy and Physiology,10,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
ANTH-200,Behavioral and Cognitive Neuroscience,2,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
ANTH-200,Cell and Molecular Neuroscience,2,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
ANTH-200,Environmental and Public Health,1,B,Freshman,Fall,Freshman (Fall),Freshman (Fall) | B
ANTH-200,Exercise Science,15,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
ANTH-200,Health Promotion,4,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
ANTH-200,Microbiology and Infectious Disease,5,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
ANTH-200,Neuroscience,2,A+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A+
ANTH-200,Other,3,B,Freshman,Fall,Freshman (Fall),Freshman (Fall) | B
ANTH-240,Anatomy and Physiology,1,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
ANTH-240,Cell and Molecular Neuroscience,1,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
ANTH-261,Exercise Science,1,W,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | W
ANTH-274,Behavioral and Cognitive Neuroscience,1,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
